lr,seq_len,batch_size,best_epoch,train_rmse,val_rmse,test_rmse,test_mae,test_mape
0.01,3,16,251,2.273573585155828,2.4950717849378026,2.5912069715422272,1.8582032371408281,0.034610112757590496
0.01,3,32,251,2.2781319936188216,2.5555555639574274,2.7298474515622138,1.965011351591633,0.036513969416777946
0.01,3,64,351,2.2360197269047837,2.4074672946028826,2.757729142760837,1.983807345861051,0.036879637316308014
0.01,6,16,51,2.666876292048133,2.8244505386561882,3.1039306365836126,2.4036016495154438,0.044091922517046946
0.01,6,32,801,0.004546088813400159,2.7981437807757166,3.900281105349232,2.604219506961866,0.0483230811466204
0.01,6,64,51,2.585179480345531,2.7938014516578744,2.9223996545040047,2.168867965152191,0.04009255832097584
0.01,9,16,51,2.46650686727785,2.922172178478277,2.8234425767433726,2.0331809991494096,0.037975621780523536
0.01,9,32,51,2.5653517939657293,2.7790472568717304,2.9447321433732894,2.254804276396393,0.04160496536643875
0.01,9,64,1,2.7948373964329645,2.864418491366787,3.241789469838318,2.5709298484856276,0.04699866316961044
0.01,12,16,51,2.3168022384849936,2.8263150313789227,2.9152713434576665,2.1266432474150223,0.03960021863841363
0.01,12,32,51,2.533167698966803,2.7849010633945763,2.817563537823252,2.116736071455432,0.039285634912161096
0.01,12,64,101,2.5128930282881505,2.6918819724177845,2.9844946762475435,2.3546082029642013,0.04355284773118957
0.01,15,16,51,2.495217509088113,2.819856207264896,2.8550944421941167,2.1397735531055213,0.039890301994721745
0.01,15,32,101,2.3937983057908263,2.7412565494736696,2.850459307872293,2.1284151212340134,0.03967956821692973
0.01,15,64,251,1.6958752897008416,2.6699322644767727,3.124809698033525,2.3972604014667356,0.04451803727362965
0.01,18,16,1,2.683201556614365,2.836762920090297,3.112012425754771,2.4290817791102524,0.04454769149838267
0.01,18,32,51,2.5231355919431215,2.8222083768062047,2.8352212684127913,2.085840361328764,0.03880028575414991
0.01,18,64,201,2.501752426659253,2.778934192933389,2.855598429572624,2.151120981057352,0.03986980589002669
0.01,21,16,1,2.6036805533695,2.819781063846543,2.938992724106172,2.2100323282226104,0.04077579216608162
0.01,21,32,1,2.792521159943205,2.863611791715475,3.24865623476818,2.580318339241638,0.04716641464197329
0.01,21,64,51,2.5305865957661124,2.806117820550603,2.843892356734966,2.070192689405052,0.03852193987997003
0.01,24,16,51,2.6307164589860856,2.7841831409707627,3.0258767565398745,2.3174548736270477,0.042650289455837063
0.01,24,32,101,2.5379205159118046,2.783539202097294,2.8429586487774565,2.1053894745075286,0.0391129223266389
0.01,24,64,51,2.633940495953384,2.728190718333277,3.044215668214367,2.3548830583775398,0.04331363100562585
0.001,3,16,601,2.3439573182088886,2.744342657233116,2.6983742630195087,1.9148942530622672,0.03569839719292806
0.001,3,32,751,2.3870522558879625,2.7379380567183733,2.7421490288221655,1.9450985991648113,0.03614277334106717
0.001,3,64,1151,2.4067748999861354,2.704267022244011,2.8013216883430245,2.0134941257874375,0.03735444544314833
0.001,6,16,101,2.5555881769734716,2.808735183195193,2.918831636461954,2.1388340819110447,0.03965740799599099
0.001,6,32,151,2.5567945072395757,2.8217087874523448,2.8811052287435612,2.0980903509447195,0.038967411835464094
0.001,6,64,651,2.510371878320915,2.7792267720260995,3.0180221560866207,2.183550830328641,0.04032320592720791
0.001,9,16,151,2.5537620883366876,2.8187175385635865,2.883728834243609,2.0718670448861176,0.03854576052405241
0.001,9,32,301,2.5203989438479,2.792411928358993,2.844748076572877,2.073657868344225,0.038531227681850994
0.001,9,64,201,2.6202448141122003,2.790304486688895,3.0129528508048855,2.2580804301432176,0.041618277370549676
0.001,12,16,151,2.501448296264439,2.701076456575409,2.9582650680734823,2.252904972653397,0.041683916713480755
0.001,12,32,251,2.489723019896472,2.728510613642765,2.956206668362233,2.245551330385761,0.041586199619678424
0.001,12,64,401,2.489575732316446,2.737414323297142,2.88350255441892,2.131565357269899,0.03963089951368641
0.001,15,16,1251,0.0060646647957705345,2.587744815160797,2.857899377591002,2.1660467607557696,0.04044951977022279
0.001,15,32,351,2.4259638445935154,2.7139264627139563,2.8960332681134244,2.149968592674587,0.039865737370516074
0.001,15,64,851,2.0461972517730223,2.6870400330503097,3.1894591542893584,2.3561947473643223,0.04406796041116524
0.001,18,16,251,2.32703940163909,2.6942262686657226,2.652468628047732,1.8944054383600146,0.03523321096880156
0.001,18,32,351,2.4865326954182208,2.700804740845081,3.0371095066451894,2.3425981286478534,0.04339129845409711
0.001,18,64,1101,2.1391347736509156,2.6302803245593687,2.823596361710015,2.166008054124716,0.03996217220212347
0.001,21,16,201,2.4505038786255464,2.724078153955147,2.8980060387389415,2.168495050636425,0.04038541841287358
0.001,21,32,251,2.516145612667536,2.7241181909574146,2.9258220033700826,2.1851323250652253,0.04048239888730462
0.001,21,64,501,2.481641240317822,2.7535890777477174,2.9085356933760216,2.1455199081347076,0.03989120046040385
0.001,24,16,251,2.3963917423051155,2.7165631065570195,2.9779526266375265,2.258358627502675,0.04176871403294864
0.001,24,32,301,2.4875068775030282,2.739776277114934,2.909241712638525,2.1628303040888266,0.040133525058854355
0.001,24,64,451,2.5136341890141436,2.7835365608451808,2.857499922985066,2.1080055838037026,0.03922031905545138
0.0001,3,16,1451,2.5507018374075323,2.8158733211599367,2.9082315940389343,2.1375486647621296,0.03957005640989833
0.0001,3,32,1451,2.5403928386975596,2.83455325914943,2.887740729818837,2.0808431116375328,0.03862448999077787
0.0001,3,64,1301,2.5465849537361556,2.8630351222072274,2.8984321141165004,2.093564115600055,0.038823998073871754
0.0001,6,16,701,2.5546651891207426,2.8351329298949532,2.9394379999125597,2.1447063267101725,0.03977956051853452
0.0001,6,32,701,2.5593071889869563,2.8339864393939256,2.94445185972224,2.158480460075935,0.03999312740922675
0.0001,6,64,951,2.5691313991793625,2.8261775254222785,2.9513687116851517,2.1779491754719023,0.04028912144688444
0.0001,9,16,851,2.5704122561562865,2.782437138337539,2.9352819411326414,2.1420483457403825,0.03967489317342773
0.0001,9,32,1351,2.562889269250362,2.792310388227497,2.903113159724625,2.094188300360023,0.038877206206714914
0.0001,9,64,1351,2.5791698169585056,2.809023530178902,2.9285265770065156,2.139725003064978,0.039638648900991266
0.0001,12,16,851,2.5595348067546175,2.7806086531948995,2.8381391362966144,2.0717758701148785,0.0385034373881396
0.0001,12,32,1401,2.5576923589088207,2.736105478901542,2.878291410351472,2.1476043160666096,0.0397698730762739
0.0001,12,64,1401,2.590257423186576,2.8091987084192955,2.9346517780519386,2.1488710001795117,0.03980377519393905
0.0001,15,16,1301,2.39752113803892,2.771856840239821,3.031008085790151,2.1998358774348516,0.04097360054906831
0.0001,15,32,1401,2.5488842949144495,2.7928428556820393,2.9326313435717393,2.168238821351991,0.04014341081765402
0.0001,15,64,1401,2.552901917553207,2.812961412023438,2.93463690301808,2.1478091235428076,0.039777640182317615
0.0001,18,16,1351,2.343856993169187,2.6732051834145674,2.977247027482546,2.1444862574806316,0.040064235609833895
0.0001,18,32,1201,2.577665205168639,2.7944758478092044,3.029387773422727,2.271179421045948,0.04188257960557508
0.0001,18,64,1201,2.5753964350587597,2.809624225612375,3.0188039390159105,2.2459856694556195,0.04141091157325065
0.0001,21,16,1301,2.4586865486316567,2.7057473850360405,2.908447087415816,2.1518880403198835,0.03998650802199707
0.0001,21,32,1201,2.541708075913783,2.808583600746595,2.924052610729651,2.1341975009302554,0.03959275711685804
0.0001,21,64,1201,2.539457178287767,2.832230967978286,2.9057771654871454,2.098322643075265,0.03897848630629991
0.0001,24,16,1251,2.4835418529818067,2.734624587238174,2.895605839252969,2.1577433922371143,0.040009168479902636
0.0001,24,32,1151,2.5531045498369753,2.8167657122166183,2.906501889627422,2.1077849562734348,0.03915010528588413
0.0001,24,64,1151,2.5531425407606916,2.8400149826005525,2.892871126010876,2.0841367372651662,0.03874813616621312
